Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2023-10-21 21:26:46,Other,BLUE HEAD PADDING MATERIAL MUST BE USED,,,,,,1
2023-10-21 21:30:01,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,1
2023-10-21 21:35:01,Other,PIT EXIT CLOSED,,,,,,1
2023-10-21 21:45:14,Other,RISK OF RAIN FOR F1 SPRINT IS 0%,,,,,,1
2023-10-21 21:57:06,Drs,DRS DISABLED,DISABLED,,,,,1
2023-10-21 22:03:46,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,1
2023-10-21 22:05:39,Drs,DRS ENABLED,ENABLED,,,,,2
2023-10-21 22:09:26,Other,TURN 15 INCIDENT INVOLVING CARS 63 (RUS) AND 81 (PIA) NOTED - LEAVING THE TRACK AND GAINING AN ADVANTAGE,,,,,,4
2023-10-21 22:09:35,Other,CAR 63 (RUS) TIME 1:41.327 DELETED - TRACK LIMITS AT TURN 15 LAP 3 17:08:34,,,,,,4
2023-10-21 22:10:44,Other,CAR 81 (PIA) TIME 1:42.870 DELETED - TRACK LIMITS AT TURN 9 LAP 3 17:07:47,,,,,,5
2023-10-21 22:11:42,Other,CAR 11 (PER) TIME 1:41.841 DELETED - TRACK LIMITS AT TURN 12 LAP 2 17:06:36,,,,,,5
2023-10-21 22:11:51,Other,FIA STEWARDS: TURN 15 INCIDENT INVOLVING CARS 63 (RUS) AND 81 (PIA) UNDER INVESTIGATION - LEAVING THE TRACK AND GAINING AN ADVANTAGE,,,,,,5
2023-10-21 22:12:10,Other,CAR 3 (RIC) TIME 1:41.832 DELETED - TRACK LIMITS AT TURN 12 LAP 4 17:10:04,,,,,,6
2023-10-21 22:13:10,Other,FIA STEWARDS: 5 SECOND TIME PENALTY FOR CAR 63 (RUS) - LEAVING THE TRACK AND GAINING AN ADVANTAGE,,,,,,6
2023-10-21 22:14:37,Other,CAR 81 (PIA) TIME 1:42.360 DELETED - TRACK LIMITS AT TURN 19 LAP 6 17:13:53,,,,,,7
2023-10-21 22:15:52,Other,CAR 23 (ALB) TIME 1:41.185 DELETED - TRACK LIMITS AT TURN 1 LAP 7 17:14:14,,,,,,8
2023-10-21 22:16:24,Other,TURN 1 INCIDENT INVOLVING CARS 23 (ALB) AND 81 (PIA) NOTED - LEAVING THE TRACK AND GAINING AN ADVANTAGE,,,,,,8
2023-10-21 22:17:23,Other,CAR 81 (PIA) TIME 1:42.360 DELETED - TRACK LIMITS AT TURN 20 LAP 6 17:13:59,,,,,,9
2023-10-21 22:17:24,Other,CAR 81 (PIA) TIME 1:42.072 DELETED - TRACK LIMITS AT TURN 20 (NEXT LAP),,,,,,9
2023-10-21 22:17:31,Flag,BLACK AND WHITE FLAG FOR CAR 81 (PIA) - TRACK LIMITS,,BLACK AND WHITE,Driver,,81,9
2023-10-21 22:17:57,Other,FIA STEWARDS: TURN 1 INCIDENT INVOLVING CARS 23 (ALB) AND 81 (PIA) UNDER INVESTIGATION - LEAVING THE TRACK AND GAINING AN ADVANTAGE,,,,,,9
2023-10-21 22:18:22,Other,CAR 20 (MAG) TIME 1:43.529 DELETED - TRACK LIMITS AT TURN 19 LAP 8 17:17:24,,,,,,9
2023-10-21 22:19:49,Other,CAR 20 (MAG) TIME 1:43.169 DELETED - TRACK LIMITS AT TURN 12 LAP 9 17:18:40,,,,,,10
